canonical_id,profile_key,unique_identifier,specific_task_group_title,chapter_title,display_name,theme,growth_index,growth_text
EA-001,personality_profile_1,STG 1.1.1.1,Despair,The Awakening Call,Sentinel of the Darkest Hour,The Awakening from Despair,1,"recognize despair as a threshold, not a destination"
EA-001,personality_profile_1,STG 1.1.1.1,Despair,The Awakening Call,Sentinel of the Darkest Hour,The Awakening from Despair,2,seek meaning in suffering as Viktor Frankl teaches
EA-001,personality_profile_1,STG 1.1.1.1,Despair,The Awakening Call,Sentinel of the Darkest Hour,The Awakening from Despair,3,embrace the absurd while maintaining hope (Camus)
EA-001,personality_profile_1,STG 1.1.1.1,Despair,The Awakening Call,Sentinel of the Darkest Hour,The Awakening from Despair,4,acknowledge mental health struggles without shame
EA-001,personality_profile_1,STG 1.1.1.1,Despair,The Awakening Call,Sentinel of the Darkest Hour,The Awakening from Despair,5,remain open to mysterious interventions and cosmic timing
EA-001,personality_profile_1,STG 1.1.1.1,Despair,The Awakening Call,Sentinel of the Darkest Hour,The Awakening from Despair,6,transform isolation into solitude for self-discovery
EA-002,personality_profile_2,STG 1.1.1.2,Guileless,The First Test,Guardian of Innocent Truth,Vibratile - Guileless Honesty in Rising Tension,1,maintain honesty while developing discernment
EA-002,personality_profile_2,STG 1.1.1.2,Guileless,The First Test,Guardian of Innocent Truth,Vibratile - Guileless Honesty in Rising Tension,2,preserve wonder while building wisdom
EA-002,personality_profile_2,STG 1.1.1.2,Guileless,The First Test,Guardian of Innocent Truth,Vibratile - Guileless Honesty in Rising Tension,3,stay transparent yet establish healthy boundaries
EA-002,personality_profile_2,STG 1.1.1.2,Guileless,The First Test,Guardian of Innocent Truth,Vibratile - Guileless Honesty in Rising Tension,4,balance openness with protective awareness
EA-002,personality_profile_2,STG 1.1.1.2,Guileless,The First Test,Guardian of Innocent Truth,Vibratile - Guileless Honesty in Rising Tension,5,keep innocence alive without denying complexity
EA-002,personality_profile_2,STG 1.1.1.2,Guileless,The First Test,Guardian of Innocent Truth,Vibratile - Guileless Honesty in Rising Tension,6,"use guilelessness strategically, not blindly"
EA-003,personality_profile_3,STG 1.1.1.3,Vibratile,Determination Through Betrayal,Artisan of Determined Mastery,Vibrant Determination - Crafting Purpose from Pain,1,recognize that others' choices are not your responsibility
EA-003,personality_profile_3,STG 1.1.1.3,Vibratile,Determination Through Betrayal,Artisan of Determined Mastery,Vibrant Determination - Crafting Purpose from Pain,2,accept support from chosen family and community
EA-003,personality_profile_3,STG 1.1.1.3,Vibratile,Determination Through Betrayal,Artisan of Determined Mastery,Vibrant Determination - Crafting Purpose from Pain,3,process pain rather than bypassing it through work
EA-003,personality_profile_3,STG 1.1.1.3,Vibratile,Determination Through Betrayal,Artisan of Determined Mastery,Vibrant Determination - Crafting Purpose from Pain,4,"find purpose within suffering, not despite it"
EA-003,personality_profile_3,STG 1.1.1.3,Vibratile,Determination Through Betrayal,Artisan of Determined Mastery,Vibrant Determination - Crafting Purpose from Pain,5,balance determination with vulnerability
EA-003,personality_profile_3,STG 1.1.1.3,Vibratile,Determination Through Betrayal,Artisan of Determined Mastery,Vibrant Determination - Crafting Purpose from Pain,6,transform guilt into compassionate boundaries
EA-004,personality_profile_4,STG 1.1.2.1,Explosive,Explosive Awakening,Herald of Explosive Awakening,Explosive Creativity - Swift Decisive Action,1,integrate explosive experiences without being destroyed
EA-004,personality_profile_4,STG 1.1.2.1,Explosive,Explosive Awakening,Herald of Explosive Awakening,Explosive Creativity - Swift Decisive Action,2,balance swift action with strategic thinking
EA-004,personality_profile_4,STG 1.1.2.1,Explosive,Explosive Awakening,Herald of Explosive Awakening,Explosive Creativity - Swift Decisive Action,3,process loss of innocence with mentor support
EA-004,personality_profile_4,STG 1.1.2.1,Explosive,Explosive Awakening,Herald of Explosive Awakening,Explosive Creativity - Swift Decisive Action,4,channel adrenaline into focused power
EA-004,personality_profile_4,STG 1.1.2.1,Explosive,Explosive Awakening,Herald of Explosive Awakening,Explosive Creativity - Swift Decisive Action,5,develop controlled explosiveness rather than chaos
EA-004,personality_profile_4,STG 1.1.2.1,Explosive,Explosive Awakening,Herald of Explosive Awakening,Explosive Creativity - Swift Decisive Action,6,transform terror into sustainable courage
EA-005,personality_profile_5,STG 1.1.2.2,Implementation,Ownership Through Ego Death,Architect of Humbled Ownership,Ownership - Taking Responsibility After Manipulation,1,accept responsibility without self-destruction
EA-005,personality_profile_5,STG 1.1.2.2,Implementation,Ownership Through Ego Death,Architect of Humbled Ownership,Ownership - Taking Responsibility After Manipulation,2,transform guilt into accountable action
