canonical_id,profile_key,unique_identifier,specific_task_group_title,chapter_title,display_name,theme,shadow_index,shadow_text
EA-001,personality_profile_1,STG 1.1.1.1,Despair,The Awakening Call,Sentinel of the Darkest Hour,The Awakening from Despair,1,paralysis from overwhelming hopelessness
EA-001,personality_profile_1,STG 1.1.1.1,Despair,The Awakening Call,Sentinel of the Darkest Hour,The Awakening from Despair,2,isolation despite being surrounded by people
EA-001,personality_profile_1,STG 1.1.1.1,Despair,The Awakening Call,Sentinel of the Darkest Hour,The Awakening from Despair,3,self-doubt and questioning of life purpose
EA-001,personality_profile_1,STG 1.1.1.1,Despair,The Awakening Call,Sentinel of the Darkest Hour,The Awakening from Despair,4,disconnection from peers and conventional paths
EA-001,personality_profile_1,STG 1.1.1.1,Despair,The Awakening Call,Sentinel of the Darkest Hour,The Awakening from Despair,5,vulnerability to existential crisis
EA-001,personality_profile_1,STG 1.1.1.1,Despair,The Awakening Call,Sentinel of the Darkest Hour,The Awakening from Despair,6,tendency toward mental anguish and rumination
EA-002,personality_profile_2,STG 1.1.1.2,Guileless,The First Test,Guardian of Innocent Truth,Vibratile - Guileless Honesty in Rising Tension,1,naivety that can be exploited
EA-002,personality_profile_2,STG 1.1.1.2,Guileless,The First Test,Guardian of Innocent Truth,Vibratile - Guileless Honesty in Rising Tension,2,difficulty recognizing when others deceive
EA-002,personality_profile_2,STG 1.1.1.2,Guileless,The First Test,Guardian of Innocent Truth,Vibratile - Guileless Honesty in Rising Tension,3,overwhelm when innocence meets harsh reality
EA-002,personality_profile_2,STG 1.1.1.2,Guileless,The First Test,Guardian of Innocent Truth,Vibratile - Guileless Honesty in Rising Tension,4,paralysis when honesty conflicts with safety
EA-002,personality_profile_2,STG 1.1.1.2,Guileless,The First Test,Guardian of Innocent Truth,Vibratile - Guileless Honesty in Rising Tension,5,vulnerability to manipulation through openness
EA-002,personality_profile_2,STG 1.1.1.2,Guileless,The First Test,Guardian of Innocent Truth,Vibratile - Guileless Honesty in Rising Tension,6,struggle to adapt when guilelessness proves insufficient
EA-003,personality_profile_3,STG 1.1.1.3,Vibratile,Determination Through Betrayal,Artisan of Determined Mastery,Vibrant Determination - Crafting Purpose from Pain,1,risk of work becoming avoidance of emotional processing
EA-003,personality_profile_3,STG 1.1.1.3,Vibratile,Determination Through Betrayal,Artisan of Determined Mastery,Vibrant Determination - Crafting Purpose from Pain,2,guilt over circumstances beyond personal control
EA-003,personality_profile_3,STG 1.1.1.3,Vibratile,Determination Through Betrayal,Artisan of Determined Mastery,Vibrant Determination - Crafting Purpose from Pain,3,tendency toward self-blame for others' choices
EA-003,personality_profile_3,STG 1.1.1.3,Vibratile,Determination Through Betrayal,Artisan of Determined Mastery,Vibrant Determination - Crafting Purpose from Pain,4,paralysis when betrayal strikes close to home
EA-003,personality_profile_3,STG 1.1.1.3,Vibratile,Determination Through Betrayal,Artisan of Determined Mastery,Vibrant Determination - Crafting Purpose from Pain,5,difficulty accepting help during crisis
EA-003,personality_profile_3,STG 1.1.1.3,Vibratile,Determination Through Betrayal,Artisan of Determined Mastery,Vibrant Determination - Crafting Purpose from Pain,6,potential for determination to become rigid perfectionism
EA-004,personality_profile_4,STG 1.1.2.1,Explosive,Explosive Awakening,Herald of Explosive Awakening,Explosive Creativity - Swift Decisive Action,1,loss of innocence through violent exposure
EA-004,personality_profile_4,STG 1.1.2.1,Explosive,Explosive Awakening,Herald of Explosive Awakening,Explosive Creativity - Swift Decisive Action,2,overwhelm when academic worldview shatters
EA-004,personality_profile_4,STG 1.1.2.1,Explosive,Explosive Awakening,Herald of Explosive Awakening,Explosive Creativity - Swift Decisive Action,3,potential for reckless impulsive action
EA-004,personality_profile_4,STG 1.1.2.1,Explosive,Explosive Awakening,Herald of Explosive Awakening,Explosive Creativity - Swift Decisive Action,4,terror mixed with determination creates instability
EA-004,personality_profile_4,STG 1.1.2.1,Explosive,Explosive Awakening,Herald of Explosive Awakening,Explosive Creativity - Swift Decisive Action,5,difficulty processing rapid transformation
EA-004,personality_profile_4,STG 1.1.2.1,Explosive,Explosive Awakening,Herald of Explosive Awakening,Explosive Creativity - Swift Decisive Action,6,trauma from forced maturation under fire
EA-005,personality_profile_5,STG 1.1.2.2,Implementation,Ownership Through Ego Death,Architect of Humbled Ownership,Ownership - Taking Responsibility After Manipulation,1,intellectual arrogance as vulnerability to manipulation
EA-005,personality_profile_5,STG 1.1.2.2,Implementation,Ownership Through Ego Death,Architect of Humbled Ownership,Ownership - Taking Responsibility After Manipulation,2,pride that isolates and makes one exploitable
EA-005,personality_profile_5,STG 1.1.2.2,Implementation,Ownership Through Ego Death,Architect of Humbled Ownership,Ownership - Taking Responsibility After Manipulation,3,crushing guilt that paralyzes action
EA-005,personality_profile_5,STG 1.1.2.2,Implementation,Ownership Through Ego Death,Architect of Humbled Ownership,Ownership - Taking Responsibility After Manipulation,4,fragmented identity through self-deception
EA-005,personality_profile_5,STG 1.1.2.2,Implementation,Ownership Through Ego Death,Architect of Humbled Ownership,Ownership - Taking Responsibility After Manipulation,5,tendency to believe own brilliance over allies' warnings
EA-005,personality_profile_5,STG 1.1.2.2,Implementation,Ownership Through Ego Death,Architect of Humbled Ownership,Ownership - Taking Responsibility After Manipulation,6,ego-driven choices with catastrophic ripple effects
EA-006,personality_profile_6,STG 1.1.2.3,Ownership,Dominion Through Decisive Action,Sovereign of Accountable Action,Dominion - Taking Command Through Ownership,1,overcompensation through excessive control after past manipulation
EA-006,personality_profile_6,STG 1.1.2.3,Ownership,Dominion Through Decisive Action,Sovereign of Accountable Action,Dominion - Taking Command Through Ownership,2,rushing to action without full reflection to avoid guilt
EA-006,personality_profile_6,STG 1.1.2.3,Ownership,Dominion Through Decisive Action,Sovereign of Accountable Action,Dominion - Taking Command Through Ownership,3,dominance masking unresolved vulnerability
EA-006,personality_profile_6,STG 1.1.2.3,Ownership,Dominion Through Decisive Action,Sovereign of Accountable Action,Dominion - Taking Command Through Ownership,4,confusing authority with redemption
EA-006,personality_profile_6,STG 1.1.2.3,Ownership,Dominion Through Decisive Action,Sovereign of Accountable Action,Dominion - Taking Command Through Ownership,5,taking charge without adequate consultation
EA-006,personality_profile_6,STG 1.1.2.3,Ownership,Dominion Through Decisive Action,Sovereign of Accountable Action,Dominion - Taking Command Through Ownership,6,using decisiveness to avoid processing ego wounds
EA-007,personality_profile_7,STG 1.1.3.1,Dominion,Transformation Through Self-Mastery,Disciple of Inner Dominion,Transformation - Mastering Self Through Discipline,1,using 'preparation' as avoidance of real challenges
EA-007,personality_profile_7,STG 1.1.3.1,Dominion,Transformation Through Self-Mastery,Disciple of Inner Dominion,Transformation - Mastering Self Through Discipline,2,perfectionism that delays necessary action indefinitely
EA-007,personality_profile_7,STG 1.1.3.1,Dominion,Transformation Through Self-Mastery,Disciple of Inner Dominion,Transformation - Mastering Self Through Discipline,3,rigid self-control that suppresses authentic emotion
EA-007,personality_profile_7,STG 1.1.3.1,Dominion,Transformation Through Self-Mastery,Disciple of Inner Dominion,Transformation - Mastering Self Through Discipline,4,intellectualizing discipline without embodying it
EA-007,personality_profile_7,STG 1.1.3.1,Dominion,Transformation Through Self-Mastery,Disciple of Inner Dominion,Transformation - Mastering Self Through Discipline,5,judgment of those who act before mastering self
EA-007,personality_profile_7,STG 1.1.3.1,Dominion,Transformation Through Self-Mastery,Disciple of Inner Dominion,Transformation - Mastering Self Through Discipline,6,internal tyranny disguised as self-mastery
EA-008,personality_profile_8,STG 1.1.3.2,Transformation,The Weight of Destiny - Transformation's Shadow Cost,Bearer of Transformation's Burden,Transformation - The Dark Side of Change,1,guilt that paralyzes continued growth
EA-008,personality_profile_8,STG 1.1.3.2,Transformation,The Weight of Destiny - Transformation's Shadow Cost,Bearer of Transformation's Burden,Transformation - The Dark Side of Change,2,martyrdom complex about transformation's costs
EA-008,personality_profile_8,STG 1.1.3.2,Transformation,The Weight of Destiny - Transformation's Shadow Cost,Bearer of Transformation's Burden,Transformation - The Dark Side of Change,3,abandoning relationships preemptively to avoid pain
EA-008,personality_profile_8,STG 1.1.3.2,Transformation,The Weight of Destiny - Transformation's Shadow Cost,Bearer of Transformation's Burden,Transformation - The Dark Side of Change,4,using 'they couldn't handle my growth' to justify coldness
EA-008,personality_profile_8,STG 1.1.3.2,Transformation,The Weight of Destiny - Transformation's Shadow Cost,Bearer of Transformation's Burden,Transformation - The Dark Side of Change,5,bitterness toward those who remain unchanged
EA-008,personality_profile_8,STG 1.1.3.2,Transformation,The Weight of Destiny - Transformation's Shadow Cost,Bearer of Transformation's Burden,Transformation - The Dark Side of Change,6,inability to grieve losses while moving forward
EA-009,personality_profile_9,STG 1.1.3.3,Determination,Forged in Unity - Determination Through Community,Warrior of Collective Resolve,Determination - Finding Strength Through Unity,1,dependency on others' validation to maintain resolve
EA-009,personality_profile_9,STG 1.1.3.3,Determination,Forged in Unity - Determination Through Community,Warrior of Collective Resolve,Determination - Finding Strength Through Unity,2,using community support to avoid personal responsibility
EA-009,personality_profile_9,STG 1.1.3.3,Determination,Forged in Unity - Determination Through Community,Warrior of Collective Resolve,Determination - Finding Strength Through Unity,3,performing determination for others rather than embodying it
EA-009,personality_profile_9,STG 1.1.3.3,Determination,Forged in Unity - Determination Through Community,Warrior of Collective Resolve,Determination - Finding Strength Through Unity,4,emotional contagion: taking on others' pain as excuse for paralysis
EA-009,personality_profile_9,STG 1.1.3.3,Determination,Forged in Unity - Determination Through Community,Warrior of Collective Resolve,Determination - Finding Strength Through Unity,5,stubborn persistence that ignores legitimate warnings from allies
EA-009,personality_profile_9,STG 1.1.3.3,Determination,Forged in Unity - Determination Through Community,Warrior of Collective Resolve,Determination - Finding Strength Through Unity,6,martyrdom complex about continuing despite suffering
EA-010,personality_profile_10,STG 1.1.4.1,Structure,The Weight of Truth - Structure Through Organized Unity,Architect of Collaborative Systems,Structure - Creating Order Through Organization,1,over-systematizing that stifles spontaneity and creativity
