Major Group,Minor Group,Broad Group,Detailed Occupation,Occupation Name,Group,Major Name,Minor Name,Broad Name,Description,Sample of reported job titles
00-0000.00,00-0000,00-0000,00-0000,All Occupations,Total,All Occupations,All Occupations,All Occupations,,
11-0000.00,11-0000.00,11-0000.00,11-0000.00,Management Occupations,Major,Major Group,Major Group,Major Group,"Encompasses roles responsible for planning, directing, and coordinating the operations of organizations. Includes executives, managers, and administrators who create policies, oversee departments, and ensure organizational efficiency and profitability.",
11-0000.00,11-1000.00,11-1000.00,11-1000.00,Top Executives,Main,Management Occupations,Minor Group,Minor Group,"SOC Code 11-1000 refers to the category of ""Top Executives"" in the Standard Occupational Classification (SOC) system. Top Executives are high-level professionals who hold the highest positions of authority and responsibility within organizations. They are typically responsible for setting strategic goals, formulating policies, and making decisions that shape the direction and success of an organization.",
11-0000.00,11-1000.00,11-1010.00,11-1010.00,Chief Executives,Titled,Management Occupations,Top Executives,Broad Group,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.","CEO (Chief Executive Officer), Chief Diversity Officer (CDO), Chief Financial Officer (CFO), Chief Information Officer (CIO), Chief Operating Officer (COO), Chief Technical Officer (CTO), Executive Director, Executive Vice President (EVP), Operations Vice President (Operations VP), President"
11-0000.00,11-1000.00,11-1010.00,11-1011.00,Chief Executives Officers,Role,Management Occupations,Top Executives,Chief Executives,"Determine and formulate policies and provide the overall direction of companies or private and public sector organizations within the guidelines set up by a board of directors or similar governing body.  Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",
11-0000.00,11-1000.00,11-1010.00,11-1011.01,Government Service Executives,Role,Management Occupations,Top Executives,Chief Executives,"Determine and formulate policies and provide overall direction of Federal, State, local, or international government activities. Plan, direct, and coordinate operational activities at the highest level of management with the help of subordinate managers.",
11-0000.00,11-1000.00,11-1010.00,11-1011.02,Private Sector Executives,Role,Management Occupations,Top Executives,Chief Executives,"Determine and formulate policies and business strategies and provide overall direction of private sector organizations. Plan, direct, and coordinate operational activities at the highest level of management with the help of subordinate managers.",
11-0000.00,11-1000.00,11-1010.00,11-1011.03,Chief Sustainability Officers,Role,Management Occupations,Top Executives,Chief Executives,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",
11-0000.00,11-1000.00,11-1020.00,11-1020.00,General and Operations Managers,Titled,Management Occupations,Top Executives,Broad Group,"Plan, direct, or coordinate the operations of companies or public and private sector organizations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Includes owners and managers who head small business establishments whose duties are primarily managerial.",
11-0000.00,11-1000.00,11-1020.00,11-1021.00,General and Operations Managers,Role,Management Occupations,Top Executives,General and Operations Managers,"Plan, direct, or coordinate the operations of companies or public and private sector organizations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Includes owners and managers who head small business establishments whose duties are primarily managerial.",
11-0000.00,11-1000.00,11-1030.00,11-1030.00,Legislators,Titled,Management Occupations,Top Executives,Broad Group,"Develop laws and statutes at the Federal, State, or local level.",
11-0000.00,11-1000.00,11-1030.00,11-1031.00,Legislators,Role,Management Occupations,Top Executives,Legislators,"Develop laws and statutes at the Federal, State, or local level.",
