unique_identifier,chapter,title,focus_area,tarot_family,tarot_card_item,new_tarot_family,tarot_card_link,color_name,hex_code,red,green,blue,epic_novel_pages,scene,plot,epic_chapter_focus,epic_novel_chapter_focus,epic_novel_section_name,epic_preliminary_scene_focus,epic_preliminary_scene_description,hero_journey_beat,hero_journey_beat_objective,save_the_cat_beat,save_the_cat_beat_goal,specific_task_group_title,specific_task_group_description,specific_task_group_tagline,connection_to_the_major_task_group,summary,task_master_key,major_task_group_key,specific_task_group_key
STG 1.1.1.1,Chapter 1,Despair,Mental Health,Swords,Nine,,https://example.com/card,Orange Peel,#FF9900,255,153,0,Page 1 - 15,1,Intro,Intro,Scene I: The Ordinary World,Part I: Spirit of Aether,Opening Image,"The opening image sets the stage for the journey of self-discovery and ethical living, introducing the reader to the core themes of the series. It establishes the importance of virtue and ethical living as foundational principles for building meaningful relationships and navigating the complexities of modern life. Through vivid imagery and engaging storytelling, the opening image invites readers to reflect on their values, aspirations, and the role of AI in enhancing their personal growth and development.",The Ordinary World,The goal of the hero journey beat is to establish the ordinary world and the hero's initial state.,Opening Image,,Despair,"Despair is the feeling of utter hopelessness and dejection, often accompanied by a sense of powerlessness and defeat. It is a profound emotional state that can be triggered by loss, failure, or trauma, leaving individuals feeling overwhelmed and unable to cope. Despair can be a paralyzing force, robbing individuals of their motivation, energy, and sense of purpose. By understanding the nature of despair and its impact on mental health, individuals can develop strategies to overcome this challenging emotional state and regain a sense of hope and resilience. The feeling of utter hopelessness and dejection, often accompanied by a sense of powerlessness and defeat.","Despair is the feeling of utter hopelessness and dejection, often accompanied by a sense of powerlessness and defeat.","Despair is the feeling of utter hopelessness and dejection, often accompanied by a sense of powerlessness and defeat. In the context of resilience, despair can be a significant barrier to well-being, hindering individuals' ability to cope with adversity and maintain a positive outlook. By addressing the root causes of despair and developing strategies to overcome it, individuals can build the resilience needed to navigate life's challenges and setbacks. Despair is a complex emotional state that requires compassion, understanding, and support to overcome.","In the first chapter, we are introduced to Francisco Petrarch, a young man attending the University of Bologna in 1321. He is struggling with feelings of despair and isolation, as he feels disconnected from his peers and his own family. Francisco Petrarch attends a crowded lecture at the University of Bologna, feeling isolated and disconnected despite being surrounded by people. During the lecture, he accidentally encounters Novella d'Andrea, the daughter of Giovanni d'Andrea, who is covering her father's lecture from behind a screen. This encounter leads Francisco to question the nature of intrigue and what lies behind the screen of reality. He also introduces his Trionfi cards in a mysterious context, hinting at their unusual power and nature. He notices a feature of a card he never noticed before and it is a large arched pathway going through a city square with what appears to be two metal rails on the floor going into the tunnel. The chapter ends with the distant grumbling of a train far away.",task_master_1,major_task_group_1,specific_task_group_1
STG 1.1.1.2,Chapter 2,Guileless,Honesty,Cups,Six,Droplets,,Neon Carrot,#FF9933,255,153,51,Pages 16 - 30,1,Inciting Incident,Rising Conflict,Scene II: The First Test,Part I: Spirit of Aether,Inciting Tension,"Tensions begin to mount as individual aspirations clash with communal expectations. A growing sense of urgency arises, fueled by internal doubts and outside demands. This is the moment that catapults characters toward inevitable turning points, testing their readiness and capacity for resilience.",The Ordinary World,The goal of the hero journey beat is to establish the ordinary world and the hero's initial state.,Opening Image,,Guileless,"Guileless is the ability to communicate with pure intent, free from deceit or artifice. In a climate where tensions rise, this direct honesty empowers open collaboration and constructive dialogue, reducing friction and fortifying bonds. Through guilelessness, one can establish the ethical bedrock needed to unite different goals, bridging tension with sincerity.","Guileless is the quality of being free from deceit, cunning, or dishonesty.","‘Guileless’ captures the transparent, candid approach necessary to navigate suspicion, tension, or hidden agendas during conflict. Characters adopting guilelessness foster trust and mutual understanding.","This chapter starts with the background of the Zanetti Train, a locomotive unbound by the conventional tracks of time, steams ahead to a reality where Petrarch's name is but a whisper lost in the winds of obscurity. This train heads through the city square square of Bologna and the mayhem begins as people question how a previously unknown transportation vehicle runs through town. Some people are surprised but others act like they have been aware of the train for years. Francisco and only Novella are aware that this train does not belong here. In the second chapter, Francisco's life is turned upside down by this train and also when he meets Dante, the famous poet and philosopher. Dante reveals to Francisco that the Divine Comedy was not just a work of fiction, but a map to different realms and dimensions in Pangaea. Dante convinces Francisco to join him on a quest to find the lost books of Cicero, aided by the Catalan Company. Dante decides for Francisco to go with the Catalan Company instead of him.",task_master_1,major_task_group_1,specific_task_group_2
STG 1.1.1.3,Chapter 3,Vibratile,Vibratile Connection to Nature,Disks,Eight,Stones,,Outrageous Orange,#FF6633,255,102,51,Pages 31 - 45,1,The Ordinary World,The Ordinary World,Scene I: The Ordinary World,Part I: Spirit of Aether,Set-up,"Nurturing an openness to vibrant, dynamic connections with nature, characters deepen their sense of vitality, exploring new environments where growth and adaptability are paramount. These early glimpses of the setting underscore how quickly shifting conditions highlight the need for a lively, flexible perspective.",The Ordinary World,The goal of the hero journey beat is to establish the ordinary world and the hero's initial state.,Set-up,,Vibratile,"Vibratile is the quality of being lively, energetic, and dynamic. It is the state of being in tune with the rhythms of nature, embracing change, and adapting to new environments. Vibratile individuals are open-minded, flexible, and resilient, able to thrive in diverse and challenging conditions by staying connected to their inner vitality and creativity in the face of adversity. The quality of being lively, energetic, and dynamic.","Vibratile is the quality of being lively, energetic, and dynamic.","The term 'vibratile' refers to something that moves or oscillates rapidly, suggesting a high degree of responsiveness and flexibility. In the context of resilience, this vibratile quality can be seen as the ability to quickly adapt to changing circumstances or to bounce back from adversity with agility. By cultivating a vibratile connection to nature, individuals can draw on the regenerative power of the natural world to enhance their resilience, creativity, and well-being. The vibratile connection to nature is a dynamic and reciprocal relationship that fosters a sense of vitality, harmony, and balance in individuals' lives.","In the third chapter, Francisco begins to prepare for his journey to Pangaea, gathering supplies and saying goodbye to his loved ones. He is torn between his desire for adventure and the fear of the unknown.",task_master_1,major_task_group_1,specific_task_group_3
STG 1.1.2.1,Chapter 4,Explosive,Quick Decisive Creativity,Wands,Page,Rings,,Grandis,#EECC55,238,204,85,Pages 46 - 60,2,Immediate Reaction,Immediate Reaction,Scene II: The Call to Adventure,Part I: Spirit of Aether,Set-up,"Tensions come to a head quickly, forcing characters into swift decisions that reveal the explosive nature of conflict. Early glimmers of self-discovery emerge in this high-energy environment as allies and adversaries spark new challenges, catalyzing a rapid push toward invention and transformation.",The Call to Adventure,"The goal of the hero journey beat is to call the hero to adventure. During this beat, the hero is presented with a challenge or opportunity that they must accept in order to embark on their journey.",Set-up,,Explosive,"Explosive is the quality of being quick, decisive, and creative in one's actions. It is the ability to think on one's feet, adapt to changing circumstances, and generate innovative solutions to complex problems. Explosive individuals are resourceful, resilient, and adaptable, able to thrive in high-pressure situations by leveraging their creativity and intuition. The quality of being quick, decisive, and creative in one's actions.","Explosive is the quality of being quick, decisive, and creative in one's actions.","The term 'explosive' often describes something that happens suddenly and with great force. In the context of transformation, an 'explosive' change refers to a sudden, significant shift that dramatically alters the status quo. This kind of change can be a catalyst for transformation, propelling individuals, organizations, or systems into a new state rapidly. By embracing explosive change, individuals can break free from inertia, resistance, and complacency, opening up new possibilities for growth, innovation, and success.","In the fourth chapter, Francisco and the Catalan Company set off on their journey to Pangaea, encountering various challenges and dangers along the way.",task_master_1,major_task_group_2,specific_task_group_1
STG 1.1.2.2,Chapter 5,Implementation,Execution,Disks,Three,Stones,,Peach-Orange,#FFCC99,255,204,153,Pages 61 - 75,2,Reaction,Reaction,Scene II: The Call to Adventure,Part I: Spirit of Aether,Catalyst,"In the wake of a spark that ignites deeper resolve, characters spring into action, forging partnerships and refining their tactics for the road ahead. This catalyst reveals hidden talents and clarifies group dynamics, pushing each individual to implement ideas or risk stalling out.",The Call to Adventure,,Catalyst,,Implementation,"Implementation is the process of putting plans into action, executing strategies, and achieving goals. It involves translating ideas into tangible results, overcoming obstacles, and adapting to changing circumstances. Implementation requires discipline, focus, and perseverance, as well as the ability to collaborate, communicate, and problem-solve effectively. By mastering the art of implementation, individuals can turn vision into reality, drive progress, and create lasting impact in their personal and professional lives. The process of putting plans into action, executing strategies, and achieving goals.","Implementation is the process of putting plans into action, executing strategies, and achieving goals.","Implementation involves putting plans, strategies, and ideas into action. It is the practical execution of a strategy or plan. Without implementation, even the most well-conceived ideas remain theoretical and do not lead to actual change. Implementation requires discipline, focus, and perseverance, as well as the ability to adapt to changing circumstances and overcome obstacles. By mastering the art of implementation, individuals can turn vision into reality, drive progress, and create lasting impact in their personal and professional lives.","In the fifth chapter, Francisco and the Catalan Company arrive in Pangaea and begin their search for the lost books of Cicero. However, they quickly become embroiled in a conflict with Dagon Atumari, a Sumerian god who tricks Francisco into retrieving the Crown of the Ancient Ones in exchange for the book “On Glory” by Cicero. Dagon manipulates Francisco, leading him to believe that the crown will grant him immense power and knowledge.",task_master_1,major_task_group_2,specific_task_group_2
STG 1.1.2.3,Chapter 6,Ownership,Accountability,Swords,Eight,,,La Rioja,#CCCC00,204,204,0,Pages 76 - 90,2,The Call to Adventure,The Call to Adventure,Scene II: The Call to Adventure,Part I: Spirit of Aether,Catalyst,"Urgency beckons when characters recognize a pivotal moment that demands they step forward. Newfound responsibilities or challenges stir them from their comfort zone. Here, confusion and exhilaration collide to form the initial spark of a deeper quest.",The Call to Adventure,,Catalyst,,Ownership,"Ownership embodies taking responsibility and holding oneself accountable for actions and outcomes. Embracing ownership fosters a culture of transparency, problem-solving, and personal integrity. It encourages growth by demanding honesty in one’s commitments and by ensuring collaborative endeavors remain grounded and forward-moving, even when challenges arise or mistakes occur.","Ownership is the quality of taking responsibility for one's actions, decisions, and outcomes.","Ownership demands individuals stand behind their decisions and face consequences head-on, fueling progress within collaborative efforts.","In the sixth chapter, Francisco grapples with the weight of his ego as he is faced with the consequences of his actions. He must come to terms with the fact that he has been manipulated by Dagon and confront the possibility that he may never be able to return home.",task_master_1,major_task_group_2,specific_task_group_3
STG 1.1.3.1,Chapter 7,Dominion,Self-Mastery,Wands,Two,Rings,,Sunglow,#FFCC33,255,204,51,Pages 91 -105,3,Action,Action,Scene III: Refusal of the Call,Part I: Spirit of Aether,Debate,"The impetus to take action emerges, yet uncertainty and self-questioning remain. Characters now face the critical choice between bold forward movement or seeking refuge in the status quo. The tumult of internal and external friction escalates, demanding a decisive stance.",Refusal of the Call,,Debate,,Dominion,"Dominion refers to the ability to develop self-mastery, asserting command over personal impulses, habits, and mental states. Through disciplined practice and an unwavering commitment to ethical conduct, dominion fosters responsible autonomy. This autonomy both liberates and grounds individuals, enabling them to channel their energy effectively and remain steadfast against turmoil. By reinforcing healthy boundaries, reflecting upon personal growth, and controlling inner conflicts, dominion serves as a foundation for purposeful engagement with the world.","Dominion is the quality of self-mastery, self-control, and self-discipline that enables individuals to govern their thoughts, emotions, and actions.","Becoming stronger and more confident in exerting control over one's life correlates with forging emotional resilience, discipline, and clarity of purpose.","In the seventh chapter, Francisco and the Catalan Company encounter Salasa Atumari, Dagon's sister, who falls in love with Roger de Flor, the leader of the Catalan Company. Despite her initial hostility towards the group, Salasa begins to see the value of innocence and redemption.",task_master_1,major_task_group_3,specific_task_group_1
STG 1.1.3.2,Chapter 8,,Change Management,Wands,Five,Rings,,Atomic Tangerine,#FF9966,255,153,102,Pages 106 - 120,,,Consequence,Scene III: Refusal of the Call,Part I: Spirit of Aether,Debate,"Outcomes begin to surface, revealing how impulsive decisions or overlooked factors shape the path ahead. Characters debate how best to adapt strategies without losing their guiding principles.",,,,,Transformation,"Transformation is a defining pivot, demanding openness to growth and willingness to shed limiting beliefs. Whether it be incremental improvement or profound metamorphosis, purposeful change fosters resilience, creativity, and progress. By integrating adaptability, forward-thinking strategies, and a respect for lessons learned, individuals can embrace transformation as a catalyst for betterment. It propels forward motion, galvanizing achievements while responding fluidly to dynamic environments.","Transformation is the process of change, growth, and evolution that enables individuals to adapt to new circumstances, overcome challenges, and achieve personal and professional goals.","Leveraging thorough change to enhance personal and professional agency. The quality of being firm in one's resolve, unwavering in one's commitment, and resolute in one's pursuit of excellence.",,task_master_1,major_task_group_3,specific_task_group_2
STG 1.1.3.3,Chapter 9,,Persistence,Swords,Knight,Feathers,,Fallow,#CC9966,204,153,102,Pages 121 - 135,,,Refusal of the Call,Scene III: Refusal of the Call,Part I: Spirit of Aether,Debate,"Hard-fought personal struggles lead to pivotal decisions. Looming prospects of deeper conflict or momentous growth compel a final re-examination of goals, ethics, and allegiances.",,,,,Determination,"Determination underscores the fortitude needed to surpass trials and remain aligned with overarching objectives. Bolstered by a resolute sense of mission, individuals press forward despite setbacks or fears. By cultivating emotional resilience and a flexible approach, determination transcends fleeting motivation, fueling a sustained push toward growth. It's a synergy of grit, clarity, and an unwillingness to settle for less than true potential.","Determination is the quality of persistence, resilience, and perseverance that enables individuals to overcome obstacles, achieve goals, and fulfill their potential.",Harnessing firmness of purpose to steer one's course towards effectiveness. Determination fosters the strength to push through barriers with unwavering commitment.,,task_master_1,major_task_group_3,specific_task_group_3
STG 1.1.4.1,Chapter 10,,Organization,Swords,King,Feathers,,Scarlet,#FF3300,255,51,0,Pages 136 - 150,,,Pressure,"Scene IV: Allies, Mentors, and Helpers",Part I: Spirit of Aether,Theme Stated,"High stakes intensify the existing struggles, forcing characters to articulate the ethical and thematic underpinnings of their journey. Within this pressure-cooker setting, revelations about trust, fear, and potential swirl among emotional confrontations.",,,,,Structure,"Structure embodies the scaffolding that underlies efficient systems. Through well-organized methods, individuals and teams remain aligned on goals, responsibilities, and timelines. By eliminating ambiguity and building clear processes, structure reduces friction and cultivates an environment where creativity and accountability thrive. It’s a powerful antidote to chaos, ensuring that resources—time, energy, and focus—are wisely used. A steady structure also helps measure progress, celebrate milestones, and pivot strategically when needed.","Structure is the arrangement, organization, and design of systems, processes, and resources.",Developing a robust framework for continuous improvement; acknowledging and commemorating progress and milestones along the journey of self-improvement.,,task_master_1,major_task_group_4,specific_task_group_1
